Cluster nÂ°,Size,Inside score,Outside score,SASA,Apolar SASA,Polar SASA,Number of atoms
X1,2,0.39,0.22,414.0,257.0,157.12,62.0
D1,11,0.55,0.31,367.0,204.0,163.77,45.0
D2,11,0.77,0.32,308.0,187.0,121.78,56.0
D3,6,0.58,0.31,237.0,105.0,131.54,59.0
D4,9,0.68,0.3,319.0,160.0,159.21,62.0
D5,3,0.57,0.31,283.0,162.0,121.65,62.0
D6,11,0.69,0.32,388.0,235.0,152.89,57.0
D7,4,0.6,0.3,236.0,101.0,135.46,70.0
D8,4,0.63,0.33,230.0,148.0,82.32,59.0
D9,15,0.7,0.32,197.0,119.0,77.78,64.0
D10,7,0.68,0.29,348.0,223.0,124.14,68.0
D11,4,0.58,0.31,378.0,250.0,127.73,52.0
D12,6,0.61,0.3,383.0,256.0,127.06,54.0
D13,11,0.7,0.31,393.0,231.0,162.16,67.0
D14,9,0.71,0.31,404.0,236.0,168.0,61.0
D15,2,0.41,0.3,274.0,134.0,139.81,50.0
D16,2,0.48,0.33,243.0,170.0,72.91,56.0
D17,3,0.66,0.31,338.0,130.0,208.32,65.0
D18,5,0.49,0.28,314.0,171.0,143.26,62.0
D19,4,0.54,0.3,204.0,110.0,94.21,65.0
D20,3,0.58,0.27,374.0,219.0,154.71,61.0
D21,7,0.69,0.31,392.0,208.0,183.89,64.0
D22,2,0.41,0.27,288.0,184.0,104.74,59.0
D23,3,0.62,0.28,344.0,193.0,151.52,67.0
D24,5,0.63,0.31,399.0,207.0,191.28,67.0
D25,4,0.55,0.32,325.0,165.0,160.25,64.0
D26,5,0.58,0.32,363.0,200.0,163.76,62.0
D27,2,0.46,0.26,293.0,163.0,129.15,70.0
D28,2,0.53,0.33,411.0,292.0,118.72,51.0
D29,3,0.46,0.3,429.0,282.0,147.21,70.0
D30,3,0.44,0.31,234.0,116.0,118.28,55.0
D31,3,0.54,0.32,349.0,208.0,140.92,56.0
D32,2,0.5,0.31,226.0,115.0,110.63,65.0
D33,2,0.56,0.32,280.0,169.0,111.11,70.0
D34,7,0.62,0.32,406.0,244.0,162.46,51.0
D35,2,0.47,0.32,451.0,339.0,112.33,63.0
D36,2,0.46,0.3,451.0,324.0,126.28,54.0
D37,3,0.48,0.29,405.0,220.0,184.18,59.0
D38,2,0.54,0.31,373.0,136.0,236.54,52.0
D39,3,0.54,0.32,350.0,170.0,179.71,53.0
D40,4,0.64,0.31,321.0,186.0,135.13,55.0
D41,5,0.59,0.33,346.0,203.0,142.19,56.0
D42,2,0.4,0.33,342.0,241.0,101.18,76.0
D43,2,0.41,0.36,326.0,184.0,142.0,41.0
D44,2,0.4,0.37,327.0,162.0,165.17,40.0
D45,2,0.43,0.32,415.0,294.0,120.64,64.0
D46,2,0.44,0.35,291.0,228.0,63.17,54.0
D47,2,0.37,0.3,322.0,168.0,154.03,30.0
D48,2,0.44,0.3,343.0,143.0,199.6,51.0
D49,2,0.44,0.28,369.0,202.0,167.35,60.0
D50,2,0.48,0.32,375.0,185.0,190.1,56.0
D51,2,0.4,0.3,297.0,174.0,122.52,68.0
D52,2,0.49,0.31,426.0,198.0,227.94,50.0
D53,3,0.56,0.32,326.0,208.0,117.67,53.0
D54,2,0.44,0.31,314.0,139.0,175.22,61.0
D55,2,0.49,0.32,401.0,266.0,135.46,50.0
D56,2,0.42,0.29,408.0,193.0,214.93,49.0
D57,2,0.44,0.29,270.0,107.0,162.08,80.0
D58,2,0.45,0.34,282.0,159.0,122.44,53.0
D59,2,0.31,0.32,345.0,240.0,104.97,60.0
D60,2,0.38,0.32,289.0,156.0,132.93,65.0
D61,2,0.46,0.34,261.0,178.0,83.44,32.0
D62,2,0.35,0.36,227.0,125.0,102.55,42.0
D63,2,0.35,0.32,283.0,175.0,107.52,68.0
D64,2,0.38,0.29,405.0,265.0,140.0,65.0
D65,2,0.38,0.32,295.0,145.0,149.58,48.0
D66,2,0.46,0.36,312.0,173.0,138.77,44.0
D67,2,0.38,0.34,297.0,121.0,175.79,36.0
D68,2,0.45,0.35,272.0,169.0,103.63,36.0
S1,2,0.48,0.32,314.0,194.0,119.68,54.0
S2,2,0.43,0.3,392.0,208.0,184.18,67.0
S3,2,0.3,0.3,347.0,250.0,96.38,46.0
P1,3,0.47,0.32,448.0,219.0,228.4,58.0
P2,2,0.44,0.35,244.0,96.0,147.62,34.0
P3,2,0.39,0.35,370.0,109.0,261.62,59.0
P4,2,0.43,0.32,451.0,236.0,215.44,40.0
P5,2,0.42,0.33,387.0,165.0,221.28,48.0
P6,2,0.33,0.3,408.0,256.0,152.19,52.0
P7,2,0.31,0.31,403.0,217.0,186.77,48.0
A1,2,0.48,0.28,331.0,185.0,145.11,66.0
A2,2,0.49,0.31,348.0,200.0,148.26,66.0
A3,2,0.43,0.3,339.0,150.0,188.98,48.0
A4,2,0.29,0.3,390.0,223.0,167.25,42.0
M1,2,0.5,0.01,209.0,128.0,81.57,22.0
M2,22,0.64,0.34,399.0,216.0,182.5,43.0
M3,5,0.59,0.32,547.0,321.0,226.06,48.0
M4,6,0.52,0.32,561.0,366.0,195.79,54.0
M5,2,0.49,0.34,405.0,246.0,158.87,44.0
M6,6,0.61,0.36,302.0,211.0,90.56,36.0
M7,7,0.63,0.35,342.0,206.0,135.41,43.0
M8,2,0.39,0.32,530.0,332.0,197.33,49.0
M9,2,0.46,0.32,447.0,306.0,141.38,34.0
M10,5,0.64,0.35,378.0,183.0,195.09,46.0
M11,3,0.54,0.34,302.0,125.0,177.08,37.0
M12,4,0.56,0.36,407.0,234.0,172.86,52.0
M13,5,0.58,0.39,267.0,166.0,100.63,28.0
M14,3,0.54,0.36,401.0,287.0,114.56,46.0
M15,2,0.48,0.37,299.0,166.0,132.44,42.0
M16,2,0.48,0.36,323.0,149.0,173.82,40.0
M17,4,0.49,0.32,375.0,222.0,153.18,38.0
M18,5,0.54,0.34,399.0,249.0,150.51,55.0
M19,5,0.64,0.34,414.0,197.0,217.46,38.0
M20,2,0.48,0.33,314.0,143.0,170.44,36.0
M21,6,0.64,0.35,376.0,170.0,206.36,58.0
M22,5,0.54,0.31,259.0,137.0,121.88,52.0
M23,2,0.49,0.34,305.0,171.0,134.63,44.0
M24,2,0.39,0.38,261.0,172.0,88.4,32.0
M25,2,0.49,0.37,343.0,202.0,141.28,48.0
M26,3,0.5,0.36,359.0,222.0,136.62,30.0
M27,2,0.47,0.37,229.0,131.0,98.65,26.0
M28,3,0.59,0.33,379.0,272.0,106.42,36.0
M29,2,0.48,0.36,304.0,237.0,67.59,30.0
M30,6,0.62,0.36,354.0,226.0,127.67,49.0
M31,3,0.61,0.31,296.0,141.0,155.06,56.0
M32,4,0.58,0.35,499.0,254.0,244.33,49.0
M33,4,0.57,0.3,435.0,205.0,230.09,42.0
M34,5,0.53,0.32,367.0,217.0,150.07,32.0
M35,2,0.46,0.26,569.0,274.0,294.8,55.0
M36,2,0.5,0.32,264.0,145.0,118.69,39.0
M37,2,0.47,0.36,303.0,216.0,87.53,50.0
M38,2,0.46,0.34,454.0,214.0,239.95,55.0
M39,2,0.42,0.31,412.0,134.0,277.71,42.0
M40,2,0.5,0.3,268.0,237.0,30.66,29.0
M41,2,0.42,0.37,440.0,265.0,175.56,49.0
M42,2,0.34,0.34,355.0,190.0,164.83,32.0
M43,2,0.4,0.36,394.0,250.0,143.96,40.0
M44,2,0.48,0.36,307.0,199.0,107.61,36.0
M45,3,0.6,0.37,275.0,156.0,119.46,37.0
M46,2,0.4,0.29,279.0,141.0,138.34,60.0
M47,2,0.38,0.34,332.0,194.0,138.51,41.0
M48,2,0.48,0.34,404.0,218.0,186.12,41.0
M49,2,0.48,0.31,390.0,240.0,149.51,63.0
M50,3,0.55,0.37,333.0,195.0,137.89,41.0
M51,2,0.44,0.36,322.0,133.0,188.6,30.0
M52,3,0.59,0.35,468.0,323.0,144.64,44.0
M53,2,0.52,0.33,321.0,125.0,196.21,48.0
M54,2,0.31,0.33,417.0,203.0,213.64,46.0
M55,2,0.5,0.37,302.0,131.0,171.57,42.0
M56,3,0.56,0.32,319.0,123.0,196.28,37.0
M57,4,0.63,0.34,325.0,162.0,163.22,38.0
M58,2,0.43,0.31,242.0,79.0,163.2,25.0
M59,2,0.38,0.31,336.0,136.0,200.26,50.0
M60,4,0.48,0.39,321.0,169.0,152.16,26.0
M61,2,0.41,0.35,504.0,256.0,248.56,50.0
M62,2,0.5,0.38,289.0,196.0,92.51,28.0
M63,2,0.35,0.38,320.0,165.0,155.34,36.0
M64,2,0.48,0.34,223.0,100.0,122.34,26.0
M65,3,0.47,0.4,255.0,149.0,105.76,29.0
M66,2,0.5,0.37,327.0,196.0,131.34,30.0
M67,2,0.43,0.32,430.0,283.0,147.48,44.0
M68,2,0.41,0.33,296.0,141.0,155.16,32.0
M69,2,0.48,0.37,289.0,156.0,132.56,40.0
M70,2,0.4,0.29,394.0,239.0,155.25,57.0
M71,2,0.3,0.45,224.0,114.0,110.56,24.0
M72,2,0.5,0.34,366.0,220.0,146.09,43.0
M73,2,0.48,0.35,365.0,253.0,112.62,50.0
M74,2,0.42,0.34,340.0,235.0,105.48,40.0
M75,2,0.49,0.31,287.0,145.0,141.79,62.0
M76,2,0.36,0.31,308.0,184.0,123.95,26.0
M77,2,0.47,0.27,334.0,190.0,144.12,74.0
M78,2,0.46,0.29,400.0,255.0,144.55,63.0
M79,2,0.46,0.36,396.0,266.0,129.61,46.0
M80,2,0.38,0.39,287.0,152.0,135.51,23.0
M81,2,0.42,0.34,371.0,247.0,124.0,38.0
M82,2,0.44,0.37,258.0,142.0,115.99,25.0
M83,2,0.45,0.34,277.0,230.0,46.64,24.0
M84,2,0.42,0.34,343.0,215.0,128.88,37.0
M85,3,0.62,0.43,232.0,83.0,148.2,20.0
M86,2,0.31,0.31,472.0,239.0,232.47,49.0
M87,2,0.4,0.33,395.0,301.0,93.8,38.0
M88,2,0.45,0.34,338.0,262.0,75.73,61.0
M89,2,0.41,0.36,349.0,160.0,189.24,37.0
M90,2,0.43,0.35,402.0,282.0,119.42,44.0
M91,2,0.43,0.35,370.0,201.0,168.61,48.0
L1,40,0.6,0.33,370.0,210.0,159.52,43.0
L2,45,0.77,0.33,332.0,145.0,186.4,42.0
L3,8,0.58,0.31,297.0,150.0,147.02,42.0
L4,40,0.73,0.32,279.0,102.0,176.4,30.0
L5,21,0.66,0.34,350.0,191.0,159.34,37.0
L6,10,0.64,0.33,337.0,154.0,183.07,39.0
L7,8,0.73,0.33,409.0,283.0,126.27,48.0
L8,10,0.8,0.35,356.0,187.0,169.34,42.0
L9,8,0.67,0.38,401.0,196.0,205.16,33.0
L10,6,0.68,0.33,354.0,165.0,188.61,50.0
L11,4,0.71,0.35,390.0,230.0,160.41,42.0
L12,7,0.61,0.37,395.0,242.0,152.49,56.0
L13,5,0.7,0.34,404.0,210.0,194.22,53.0
L14,5,0.7,0.35,328.0,188.0,140.38,44.0
L15,6,0.6,0.32,321.0,219.0,102.23,28.0
L16,8,0.62,0.33,377.0,232.0,145.0,43.0
L17,2,0.46,0.31,416.0,231.0,185.31,48.0
L18,3,0.57,0.37,242.0,113.0,129.65,25.0
L19,4,0.75,0.33,352.0,264.0,87.97,32.0
L20,4,0.74,0.33,472.0,334.0,137.47,40.0
L21,3,0.58,0.34,383.0,199.0,183.67,42.0
L22,3,0.63,0.32,391.0,180.0,210.47,50.0
L23,3,0.62,0.35,390.0,231.0,158.72,39.0
L24,9,0.56,0.35,308.0,148.0,159.18,31.0
L25,2,0.59,0.36,329.0,118.0,211.26,34.0
L26,2,0.52,0.36,413.0,251.0,161.71,39.0
L27,3,0.37,0.34,391.0,183.0,207.89,37.0
L28,5,0.61,0.34,422.0,299.0,123.2,51.0
L29,3,0.55,0.33,298.0,138.0,160.84,33.0
L30,4,0.62,0.3,391.0,212.0,179.51,50.0
L31,3,0.51,0.34,457.0,291.0,166.1,59.0
L32,5,0.54,0.35,278.0,131.0,146.71,29.0
L33,3,0.62,0.34,378.0,202.0,176.18,46.0
L34,4,0.71,0.35,249.0,132.0,116.32,30.0
L35,5,0.58,0.33,252.0,136.0,116.43,31.0
L36,4,0.58,0.37,286.0,145.0,141.53,35.0
L37,4,0.48,0.34,297.0,184.0,112.33,36.0
L38,3,0.64,0.33,349.0,215.0,134.62,47.0
L39,5,0.65,0.38,272.0,133.0,139.12,29.0
L40,3,0.62,0.37,285.0,191.0,93.75,32.0
L41,4,0.51,0.34,304.0,148.0,155.42,31.0
L42,3,0.62,0.32,331.0,105.0,225.93,28.0
L43,5,0.62,0.34,368.0,173.0,194.92,48.0
L44,6,0.64,0.35,201.0,78.0,123.2,24.0
L45,2,0.49,0.39,307.0,168.0,138.75,26.0
L46,4,0.64,0.33,362.0,192.0,170.15,40.0
L47,2,0.59,0.35,317.0,181.0,135.84,30.0
L48,4,0.54,0.34,305.0,162.0,142.49,28.0
L49,3,0.5,0.34,357.0,184.0,173.79,51.0
L50,6,0.57,0.31,253.0,112.0,141.36,31.0
L51,3,0.65,0.35,387.0,214.0,173.39,30.0
L52,2,0.43,0.31,434.0,233.0,201.23,56.0
L53,2,0.49,0.33,288.0,113.0,174.69,41.0
L54,2,0.45,0.36,352.0,241.0,111.21,48.0
L55,2,0.5,0.37,387.0,262.0,124.94,43.0
L56,2,0.5,0.3,375.0,319.0,56.02,42.0
L57,2,0.49,0.31,514.0,290.0,223.97,62.0
L58,3,0.49,0.33,350.0,167.0,183.34,38.0
L59,3,0.51,0.35,312.0,173.0,138.62,28.0
L60,2,0.39,0.31,382.0,277.0,105.2,24.0
L61,2,0.43,0.32,324.0,173.0,151.45,26.0
L62,2,0.5,0.33,389.0,197.0,191.75,38.0
L63,2,0.56,0.33,352.0,255.0,96.9,39.0
L64,3,0.58,0.34,415.0,187.0,228.7,39.0
L65,3,0.62,0.36,366.0,212.0,154.41,35.0
L66,2,0.34,0.36,423.0,204.0,218.88,42.0
L67,2,0.52,0.37,375.0,226.0,148.6,45.0
L68,2,0.5,0.29,359.0,143.0,216.05,45.0
L69,4,0.48,0.34,340.0,152.0,188.17,32.0
L70,2,0.32,0.32,299.0,145.0,153.51,38.0
L71,2,0.37,0.35,422.0,204.0,218.62,46.0
L72,3,0.44,0.32,333.0,127.0,206.26,41.0
L73,2,0.44,0.36,276.0,126.0,149.58,28.0
L74,2,0.44,0.35,377.0,264.0,113.09,30.0
L75,2,0.36,0.34,360.0,178.0,182.57,33.0
L76,2,0.45,0.34,354.0,193.0,161.72,48.0
L77,2,0.58,0.35,318.0,139.0,179.11,32.0
L78,2,0.4,0.35,311.0,128.0,183.69,24.0
L79,2,0.31,0.39,341.0,151.0,189.65,26.0
L80,2,0.4,0.33,302.0,156.0,145.85,24.0
L81,2,0.44,0.41,277.0,98.0,178.78,20.0
L82,2,0.43,0.34,419.0,246.0,172.81,32.0
L83,2,0.5,0.31,281.0,203.0,77.62,22.0
L84,2,0.39,0.37,233.0,141.0,92.25,22.0
